,Cp_modificado_optico,Cp_modificado_pwm,Cp_optico,Cp_pwm,Ct_optico,Ct_pwm,Error_Potencia_PWM,Error_RPM_optico,Error_RPM_pwm,Error_Thrust,Error_Torque,Error_Velocidad_inducida,Merito_PWM,Merito_optica,Potencia_PWM (W),RPM_optico,RPM_pwm,Thrust (N),Torque(Nm),Velocidad_inducida (m/s),omega_optico(rad/s),omega_pwm(rad/s)
0,,0.5028617335384068,,0.0011529829158871887,,0.03477599128682113,0.14160606914253743,,44.599157433184764,0.017690080613107506,0.0008793981468825657,0.0,3.977236418303139,,1.8874484072820534,,1389.9625,2.17283890457314,0.012967115753836396,0.12666666666666668,,145.5565326255101
1,,0.5278841460269386,,0.0010722678990681652,,0.03207793866667247,0.15376380466236492,,11.777054956036324,0.015988519842670745,0.0010096136638345857,0.008620067027323833,3.788710108179566,,1.9777532220137852,,1446.35625,2.170195452813385,0.013057745690223275,0.12916666666666665,,151.4620723157894
2,0.5988669216874639,0.6194692679310261,0.0012427389396797897,0.0011614513583542254,0.032538414185222506,0.030410075799070638,0.07162849386696853,150.14236350460857,2.865418817555298,0.005376455372820652,0.000450021987620019,0.09399763590407766,3.2285701705265013,3.339640122991729,2.470262200339435,1466.2575,1516.7,2.262344402932402,0.01555302063362892,0.26666666666666666,153.54612634236452,158.82845258998796
3,0.9037900165736644,0.9566272915882885,0.001191028104981118,0.001063093727794113,0.024039917652712635,0.021457668015055727,0.12063482479027945,149.0971794617105,0.5055303526990241,0.011761784641015557,0.0005794610668763638,0.14812007141355138,2.090678383928813,2.212903399378265,5.090951300001422,1878.10375,1987.90125,2.742293780267382,0.024455442072950164,0.32733333333333337,196.6745647893147,208.17253210206553
4,1.2954049218471453,1.3979332601291174,0.0012385276138236986,0.0010635156957080033,0.01941020384750606,0.016667417196281467,0.11161116987955004,141.84943645794823,4.77278597231219,0.005369772953542397,0.00042571149243371794,0.1750758565752444,1.430683464685055,1.5439187903873006,9.741866509258728,2286.67375,2467.65875,3.2823157165017807,0.037698880606321615,0.38133333333333336,239.4599151385541,258.4126200188857
5,1.68368127002482,1.9415756560122814,0.0013580075296891684,0.0010212058714938392,0.01732971925888538,0.013031747373716176,0.9427909240759375,136.5996195490218,26.484691067435577,0.09888747816131185,0.002868668485903266,0.04407065034943574,1.0300912013429921,1.1878732843363615,18.439775206742087,2683.11125,3094.09125,4.034695193554276,0.05691069467307495,0.6233333333333333,280.9747530588042,324.01247801788196
6,1.9117808240751049,2.2326299262610063,0.0015117846400604104,0.0011084922148726247,0.01710269485950485,0.01254028093865646,0.18849477278672863,45.29563994953045,17.607100440944276,0.05311658303152724,0.000331701892251479,0.022842455598682438,0.8958045292125094,1.0461450260479388,28.598010832497955,2984.06375,3484.87125,4.925185411689696,0.0783646991822889,0.716,312.4904251614536,364.93486392354265
7,2.2377657363489236,2.487497767998862,0.0013563438415164324,0.001097674663734093,0.0143240814653808,0.011592326978262861,0.12850706002905132,132.65245695401762,9.66000744047333,0.010818834878267982,0.00019833030638696924,0.03204163957519444,0.8040208219398551,0.8937486026857954,40.35206727920377,3527.78125,3921.4775,5.7651673827297625,0.09826241723628926,0.8799999999999999,369.4283886157272,410.6561635072556
8,2.370425944730158,2.7554791746305276,0.0015213894313244678,0.0011258976501887978,0.01488124720051052,0.011012802448842646,0.29554255881368624,17.029202858619072,20.495753218654837,0.01544153425744315,0.00021479509602337368,0.04906231864793093,0.7258265707154811,0.8437302183796649,60.33209704858598,3825.0,4446.335,7.041157408851486,0.12957392736780843,0.9886666666666667,400.5530633326986,465.6191123799724
9,2.4776921481634657,2.8845992384066865,0.0015380490750158864,0.0011347335953217118,0.014553872341171076,0.010737477858032385,0.3474121725596304,17.164702107450054,19.60260182826505,0.012837002076465431,0.00018910393145551944,0.03651483716701106,0.6933372141860176,0.8072027840433912,84.2793998340683,4258.17375,4957.48625,8.534285379403142,0.16234215174366123,1.1033333333333333,445.9149123569633,519.1467461090804
10,2.6579810219992925,3.092300602842623,0.0015593565915797119,0.001152088341213275,0.01401605217342905,0.010355380152326848,0.482197725272831,24.095495429644103,20.826693771155803,0.03588812734092197,0.00039669042944824167,0.057131427428342846,0.6467676519422086,0.7524508201701269,110.69937124041225,4643.11,5401.80375,9.772045806532818,0.19569410084633015,1.1873333333333334,486.2253421936434,565.6755659044599
11,2.7281049658296035,3.1624865670279,0.0015644965721959628,0.0011642316169024108,0.01380508300456841,0.010273153929203699,2.1331558314208077,25.1968346226267,17.038646513147683,0.07242897642512225,0.0034023207151836136,0.04730985333122718,0.6324137534217565,0.7331096218989542,143.67039096491126,5065.17,5871.67,11.454309597698114,0.23365604229812784,1.3246666666666667,530.423362039447,614.8798445434527
12,2.7596755727758002,3.2322790638164105,0.0016021711540263556,0.0011679043305074415,0.01391865429713983,0.010146017538522114,0.3907035248559219,123.76027368830442,0.0,0.060324047198093055,0.0005946911872253167,0.03855155278613588,0.6187584551064607,0.7247228695032124,175.8052585488083,5356.441780821918,6273.75,12.914924432217907,0.2675937924168945,1.436,560.9252716003855,656.9855636819655
